n,Distance,Name,num,Class,Apparent,Absolute,Ascension,Declination,Paralax,date,notes
47,15.342,Gliese 876,66,M3.5V,10.17,11.81,22h53m16.7s,-14d15m49s,212.59,,has four known planets
48,15.610,LHS 288,67,M5.5V,13.90,15.51,10h44m21.2s,-61d12m36s,208.95,,
49,15.757,WISE 14055534,68,Y0p,20.09 J,,14h05m0.0s,55d34m00s,207 ,2011,
50,15.832,Gliese 412 A,69,M1.0V,8.77,10.34,11h05m28.6s,43d31m36s,206.02,,
51,15.848,Groombridge 1618,71,K7.0V,6.59,8.16,10h11m22.1s,49d27m15s,205.81,,
52,15.942,AD Leonis,72,M3.0V,9.32,10.87,10h19m36.4s,19d52m10s,204.60,,
53,16.067,DENIS J081730.0-615520,73,T6,,,08h17m0.0s,-61d55m00s,203 ,2010,
54,16.085,Gliese 832,74,M3.0V,8.66,10.20,21h33m34.0s,-49d00m32s,202.78,,has one known planet
55,16.195,LP 944-020,75,M9.0V,18.50,20.02,03h39m35.2s,-35d25m41s,201.40,,
56,16.197,DEN 0255-4700,76,L7.5V,22.92,24.44,02h55m03.7s,-47d00m52s,201.37,,
